ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu2047	77	1	3	1			2	4				
Zotu103	22	29	2	86	130	17	15	281	2	464	293	1
Zotu572	68		5	26	36	6	53	4		8	2	17
Zotu120	25	9	3	5	189	66	7	33	3	69	56	8
Zotu3861	1		1		4			2		3	1	
Zotu1694	2			3	2	1	1			2	8	
Zotu2626	1						1					
Zotu1397	19		2	14			1					
Zotu2829	25			1	7			3		2	2	1
Zotu405	3		3	1	4			2		1	10	3
Zotu672				1							1	1
Zotu3237			1			1				2	1	1
Zotu1290	3		1		1	7	3	2		16	12	
Zotu12539				1	6	3					1	
Zotu8599	3		2	1	1						1	1
Zotu1242				1		1		1			1	1
Zotu41817	2	7		1	7	1	1	1		3	2	5
Zotu20187	1		1									
Zotu2159	80	8	1		3		5					
Zotu15	80	4	198	57	29	60	109	162	4	759	608	43
Zotu1623	10	1	1	1	3		3	1		1	7	2
Zotu137	91	1	40	6	8	13	349	39		704	6	
Zotu2061	22			5	10	11	3			6	4	
Zotu230	11	4	2	1	27	29		8		12	44	
Zotu350	589		1		30	1	18	5	1	4		
Zotu3119	31											
Zotu4419	101		1				1			2		
Zotu5570	6				1					1		
Zotu3234					1	2				1		
Zotu11001	1				1		1			2		
Zotu2571		1			1	2				1	2	
Zotu5083					1			4		1		
Zotu3930	21						2					
Zotu505	59			1			29			7	5	
Zotu3815	14		1	5	1		4			1		1
Zotu75	1		19	28				5		71	14	481
Zotu265				2	1	8	2		4	1	1	
Zotu4348	14				1							
Zotu28082							1					
Zotu306	24	11	2	77	25	15	13	14	32	14	11	2
Zotu4794	22			7						1		
Zotu4061	14											1
Zotu39441	5											
Zotu1661	19	1			1	1					1	
Zotu428	9			2	9	4	3	5		1	5	1
Zotu6054	5					1	2	5				
Zotu674	174	24	5	1	7	6	11	12		11	6	1
Zotu1873	3		1	2	4	1	5	2		1	5	
Zotu1354	26	2	2	4	8	10	13	9		33	12	
Zotu1223	1			1								
Zotu745	26		2	2	1	1	26	9	3	2	42	1
Zotu389	6		11	1	1	18	9	3	2	1	5	2
Zotu14430	3		1									
Zotu1346			2		3	1	1				2	
Zotu1740	1		1	1	59	2	19				13	
Zotu539	26	2	1	5	27	7	3	4		10	8	1
Zotu53	38	1	2	2	2	8	6	12		4	5	5
Zotu876	71	7		6	6	6	21	1	1			1
Zotu4338	17											
Zotu38647								1				
Zotu207	37	8	49		12	2	88	28		118	9	
Zotu7957	2				1						1	
Zotu687	51	1	1	2	9		34	118		15		3
Zotu948	21	1			1		7	13		29	2	
Zotu5161		1		1	5		3	4			2	
Zotu1458	2					1				2		1
Zotu454	27	3	26	8	1	3	57	12	2	24	7	11
Zotu579	27	1		3	28		63	1		3		
Zotu15909	12											
Zotu3881	17		1		2	2	4			4		
Zotu999	3		1	1	14			1		1	13	
