ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu41455	3											
Zotu12692								1				
Zotu46386	1				1							
Zotu16608	1											
Zotu37324	1											
Zotu3517	1				2	1						1
Zotu8060	7		3									
Zotu6408	3			3	4		3	1				
Zotu3502	5			13	5	2				2	2	
Zotu15815	6											
Zotu4309				5	2							
Zotu17727	1											
Zotu583				1	7	1	1	2				1
Zotu20012	1											
Zotu1978	1		1			4	3	1				
Zotu1276					4				1		1	
Zotu7798										4		
Zotu11502	1									1	1	
Zotu30841	1				1							
Zotu12825	1				5		1					
Zotu7469	2									2	1	
Zotu768			1						1			1
Zotu8093			1		1							
Zotu3760								2		1	1	
Zotu3855	2	1		3					1	1	3	
Zotu7452	1							2				2
Zotu27099	1											
Zotu412	4	2		4	48		2	10		2	5	
Zotu398	5		6		64	9	3	21			18	
Zotu1980	1		2	1	3	5						
Zotu4089	1										1	
Zotu12100	2									1		
Zotu29738											1	
Zotu4030	1			1	3	1		1			4	2
Zotu14856	1											
Zotu1244		24	12	4	1	31	1	4	3		1	33
Zotu738	4		2	4	3	1	1					2
Zotu4710	7							2		6		
Zotu608	9	1	3	2	7	2	6	6	1	2	9	1
Zotu3398											2	
Zotu1615		1	1	1		1	1	5				3
Zotu2997	2		1		1			1		1		
Zotu14993	1											
Zotu5771	13	24	12					2	47			
Zotu589	7	2	4	9	1	15	11			4	6	31
Zotu7433			1									
Zotu1485	1		1		4							
Zotu30098	2											
Zotu14812	2						1			2		
Zotu816	7	2	6		16	1	7	4	2		1	1
Zotu3886					1	3	2	1		1		
Zotu140	3	11		14	7	6		5	84	9	116	146
Zotu12230	2		1				2			1		
Zotu2803	8			7	2		16			4		
Zotu227	13		2	4	33	10	17	3		12	27	7
Zotu4500	3			1		2				2		
Zotu8751	1			1							1	
Zotu55239					1	1					1	
Zotu4849	3	1	1		2		8			1		
Zotu2465	2		1		12	1	8	16			11	
Zotu18276	1											1
Zotu1042		12		3	10	7		2	274	22	4	6
Zotu14937	1											
Zotu3566	12				1			1			2	
Zotu14133	3			1								
Zotu5141	8		2									
Zotu1923	6		25	1	5	2		3	5	4		
Zotu704	2		1		2	4	2	2		3	3	
Zotu42197	1											
Zotu2214	3	1	1		4	1	1			2	3	2
Zotu5126	1			1	3	1						
Zotu8748	5			2	2			1				
Zotu24543				2	2		1			1		
Zotu148	7	1	2	9	3	14	2	2	5	3	1	3
Zotu9921	1											1
Zotu4758	3					2				1	2	1
Zotu18820	1											
Zotu13652	6											
Zotu36374	1											
Zotu1460	5	6	1	18			1	2	1	10		
Zotu723	12			1	10	2	2	28		2	26	
Zotu15506			1				2					
Zotu18796	1										1	
Zotu12738	9							1		1		
Zotu3704	8	6	4		1	2	1					4
Zotu12708	3			1	2		2				1	
Zotu980	3		4				20	3				
Zotu15265	2						2					
Zotu975	1	2			3	1						1
Zotu34478	1							1				
Zotu1991	1							2		1	1	2
Zotu13844	1		1									
Zotu10585					1		1					
Zotu25951	2											
Zotu12506	2				3			3		1		
Zotu11305	1				2					1		
Zotu3907	4			2	19	2	2	2		4		
Zotu6839	6				1		6			1		
Zotu15024			1				1			1	1	
Zotu6514											1	
Zotu46687	4											
Zotu105	1	24	18	98	8	28	14	22	171	33	14	34
Zotu828	1				1		1	4		13	3	
Zotu2921	1		1			2		1		6	1	
Zotu2665	3	2	10	16	4	1	8			20	1	
Zotu1705					1	2				2	1	
Zotu19453			1									
Zotu9589	1										1	
Zotu2863	3		1		3	3	1	4	1			1
Zotu165	7		2	5	8	1	3	3	2	1	4	10
Zotu2216	1				1	5	1	1			1	
Zotu869	3		5	1		1	2		1			
Zotu4751	1		1		1			1		1	1	
Zotu6226			1		1		1	5				
Zotu954	1	1		1	23	2	1	5		1	7	1
Zotu16711	1							2				
Zotu2286			1	1	6	1			2	2	3	
Zotu637	4											
Zotu9549				4				2				
Zotu1784	9	2	2	2				1		9		166
Zotu14075					1					1		
Zotu5904		1	1		3	1	2					
Zotu2924	1											
Zotu885	1		2	1	7	6	1		1		4	1
Zotu5436	2											
Zotu19187				1	1							
Zotu159	5		15	2	7	26	1		5	4	2	8
Zotu1150	1		1		1			1			2	
Zotu275	2				1	3		1				2
Zotu501			2		4	1	1	1	1	1	3	1
Zotu3256	1			6	41			1		2		1
Zotu4512								1				1
Zotu1058	2	1	4			2	1			1	3	2
Zotu923	7											
Zotu5397	2		4							3	1	
Zotu24054	1		1									
Zotu4632	1				7							
Zotu36067	1											
Zotu2809	1	1	1		2		3				1	
Zotu3833	4		1		1			3		1		
Zotu4487	3									4		1
Zotu1045	1		4	2	6	8	4	2	1	1	2	
Zotu5848					3		9					
Zotu2091	5						8			1		
Zotu4176	1	7	4	2	4	3	1	1	2	11	1	1
Zotu16895										1		
Zotu13924	3							1				
Zotu831	3				1		4	11		10	8	
Zotu16802							1		1		1	
Zotu1925	1				2						1	
Zotu15502	1											
Zotu49400		4	2	2			8	7	1	6	7	1
Zotu211	3					6				1	3	
Zotu2351	1		1	1	1				1		3	
Zotu11008	3				1		2	1				
Zotu22121			1			1	3			7		8
Zotu3015	1		1				10	5		6		
Zotu1795											2	
Zotu35394	1		1									
Zotu2296	2		1	1		1	8	2	1	4		
Zotu7203		10										
Zotu3550	3			3	1							2
Zotu1492	2			3	1						2	
Zotu19343	1									2	1	
Zotu33114	1		1									
Zotu1868	2					1					1	
Zotu973	3			3	4	2	3	1		5	4	3
Zotu5632	2		4				1	5			2	
Zotu1823	2	1	6		9	2				4		
Zotu20649	1											
Zotu718	6	1	7	2	10	9	18	5	5	6	5	3
Zotu8438	1								1			
Zotu11914	1					1						1
Zotu33859	6	7	3	9	2	4	7	4		12	4	12
Zotu15117	4						1					
Zotu4993	1		1								1	
Zotu1269	32			4	2	1	8			1		
Zotu12996	4			1			1					
Zotu6891	1			1	1	1					1	
Zotu10482		1			1		4					
Zotu14504	1			1			2	1				
Zotu17885	5						2					
Zotu15019					1		1					
Zotu14404	3				1			1				
Zotu2343	8	2			1		1			10		
Zotu35559	1						2					
Zotu27	3	25	138	21	6		13	90	3	133	40	136
Zotu9563	1		2									
Zotu11725	2				1		1			1	1	
Zotu6283			1									
Zotu3600			1						1			
Zotu11201	3			1								
Zotu3669							6					
Zotu4382	2			7						4	1	1
Zotu7024	2									4		
Zotu4124				2				1		20		
Zotu5276	1											
Zotu107	6		5	4			1			1		2
Zotu2301				1		1	1		1			
Zotu2796	2		2	2	1	8						
Zotu4765				1				1			2	1
Zotu11740	1									1		
Zotu38337	1			1								
Zotu10293	1											
Zotu10869	9		4				3			2		
Zotu1135							1	1				
Zotu4084	5	1					1				2	
Zotu1920			2		4		1	4			1	
Zotu3622	5		1				2	2		4	2	
Zotu11596	1						2					
Zotu1918	2				5		9	5		1	6	
Zotu7509	4										1	
Zotu2556	1					2		1		1		
Zotu9682							1	1				1
Zotu5660	4				22			1			1	
Zotu6571					1						1	
Zotu872	12	1	12	3		7	34	7		11	5	1
Zotu1861	3				2					1	1	
Zotu26496					1							
Zotu2173							1					1
Zotu7559				6	1	1		1			1	2
Zotu11705	1											
Zotu5145	3			1			1			1		
Zotu2198	5		2	4	3	10	2	1			12	
Zotu7205	2								1			
Zotu1950	1									2	3	2
Zotu2995	2				1	1	4	2		4	21	2
Zotu11827	1				2		1			2		
Zotu7430	1				1					1	2	
Zotu3036											1	
Zotu288	5		1	2	4	3	2		1		2	1
Zotu20003	1											
Zotu2949	2		1	1	9	1					1	
Zotu34061	1											
Zotu4424	1			1	5	1		3		3	19	1
Zotu1451	1											
Zotu5192					6		1	1			3	
Zotu3008			1				2			37		
Zotu8419	3				2						3	
Zotu8046	1											
Zotu8076	3			1	1	1	1	1		1	1	
Zotu1888	2									1		
Zotu498	6	27	4	123	9	25	15	13	27	29	24	22
Zotu323	1		1	2	1						1	1
Zotu2408	4						53	3				
Zotu5081	2	2	3			1		7				
Zotu4361	1		2								1	1
Zotu3563			1		1		2	1			1	2
Zotu3231	2		2	1				2			1	
Zotu2688	3				1						1	
Zotu1945	3				1	2	1			1	2	
Zotu18219	2											
Zotu11713										1		
Zotu626	7		3		2		4	2		1	4	1
Zotu7118				1				1		1		
Zotu1853	4		6		1	1	1			4	2	
Zotu1468	2				3	5	1				2	
Zotu1026	1			1	4	3		2		2	1	1
Zotu905	4	3	1	6	93		8	13	2	3	1	1
Zotu17911	1				2							
Zotu2337	2				1		3				2	2
Zotu13368	1											
Zotu2224	1						1					
Zotu3607	2				7	1						6
Zotu11701	1											
Zotu7042				1	2							
Zotu7474	2			1								
Zotu4633			1		1	1		1		2		
Zotu5497	2					1				14		
Zotu25707				1			3	1				
Zotu1691	1			1	3	3	1			1	1	
Zotu2647	6	1					1					
Zotu2991		1	2	2	2	2	3			1	1	1
Zotu6590					3			2			1	
Zotu6904	4			2	8		2					
Zotu2974	7						23	1		4		
Zotu44313	1		1					1				
Zotu9410			1									
Zotu3308	10		2	1	4	2	3					
Zotu7152	2		3					1		2	1	
Zotu7806					1							
Zotu6602			1	1	5	2					1	
Zotu3582			2		1						1	
Zotu12603	1				1						1	
Zotu12226	4		1							1		
Zotu15836										1		
Zotu264	7	1	10	3	5	1	5	24	2	4	15	15
Zotu42095	1											
Zotu6912											1	
Zotu10279								2		1		
Zotu29030	1											
Zotu3259	1	1		3	16			3		1	1	
Zotu91	3	1	4	2	16	12	4	3	3	3	7	
Zotu861	2		1	2	2		6	1			1	
Zotu4531	7				1							
Zotu2322	4			3	15		2	3		2		
Zotu31375	1											
Zotu286	5		1		5	2				2	3	2
Zotu7895				2	1					1		
Zotu968	4		1	1	3	10		3		2		
Zotu1260	7		15	3	6	5	15	6		7	8	2
Zotu6219	3	1					2	1			1	
Zotu2920		1				1						2
Zotu2055	1		1	1		1		1				
Zotu5437	1		1	1	1		1					
Zotu4194	1		2	1	1		10			1		
Zotu24713	1											
Zotu3014	5			1							1	
Zotu14702	2											
Zotu47628	2			1								
Zotu1738					1					1		
Zotu5972	1		2					1			1	
Zotu26008				1		1						
Zotu1997	1		3							2	3	2
Zotu9297	1			1				2		3		
Zotu6318	1	15						1				
Zotu1958	2				2		1	1		1		4
Zotu5924					2							
Zotu16597			1				1				3	
Zotu11342								1				
Zotu6152	1		2				2					
Zotu11214	6				1		1					
Zotu19559			3									
Zotu10263	1		1	1	2					2	1	
Zotu22248	1							2				
Zotu4048	3		1		2	1	2			1		1
Zotu1547	2		3	6	4	4	2			3	2	3
Zotu37292								1				
Zotu7719	1				1						2	
Zotu33180	1											
Zotu27192					3	1	1					
Zotu21064	1											
Zotu891	5		36	1	7		6	13				
Zotu8382	2						12			12		
Zotu30461	5	3	1	1	7	5	3	7		8	1	30
Zotu14256					1			2				
Zotu2235	1	5	17	7	3	6	1	2	3			1
Zotu5029					6							
Zotu4800	1	1		2	51	9			2		1	
Zotu8108	8	1		3			2					
Zotu4701	4						3	4	1			
Zotu25998	1											
Zotu43756	1		1	3			1			1	1	
Zotu16902	3						5					
Zotu2076	2											1
Zotu2911	1				3	2				8	5	
Zotu124	12		1	2	8	8	3	3	1	2	10	8
Zotu18512											9	
Zotu3356	3				4					1	1	
Zotu600	2			1	8	2	1	1	1		2	1
Zotu2523	3			1	8	7	5					
Zotu6338	1											
Zotu22546						1						
Zotu3549	3						7	1				
Zotu10417	1									1	1	
Zotu15712	2			3								
Zotu51490	1			1								
Zotu1225	1	32	2	2	2	3	5	23	5	2	7	4
Zotu16681	1				1							
Zotu662	11		2	1	6	2	6			1	2	1
Zotu5125		1										
Zotu1735	1	1		1		4			1	3	3	2
Zotu45762	2							1				
Zotu7955					1		6	1				
Zotu668		10	3	8	6		40	33	49	124	11	1
Zotu2269	3		5	1	4	6		1		3	2	1
Zotu6482			1			1	1		1		4	
Zotu1944					4	5	1				1	
Zotu12187	1					1						
Zotu4117						2				3		1
Zotu6193	4							1				
Zotu5714	1		11	1	3		1	1				
Zotu3136	2			2	4			3		2	2	
Zotu8178	3	1	2		2			1			1	
Zotu15466	1				6							
Zotu7975	1				5			2			1	
Zotu22839	3						1					
Zotu2715	3		1	1	2			1		1	1	
Zotu805	3		2		4	3	1		6			
Zotu15634								2		2		
Zotu13375			2			4						
Zotu5187			1					7			2	
Zotu31146	1											
Zotu24599	3						1					
Zotu21508					2							
Zotu50442	1											
Zotu7330					20						11	
Zotu935	1			6	6	4	1	1	5	3	1	
Zotu10979	1			1								
Zotu4172	8					1						
Zotu7571	2		1									2
Zotu5968	1		2							1	1	
Zotu191	1		2	1							1	1
Zotu3608	2	1	1		1		1	1			12	
Zotu8346	1							3				
Zotu3630	1			1	1							
Zotu18058	1											
Zotu12817				4			1			1		
Zotu3570	2	1		1	31		4			3		
Zotu30047	4											
Zotu18619	2											
Zotu17632					2			4			1	
Zotu17177	1										1	
Zotu33991										1		2
Zotu12827	4			1	1		1					
Zotu4510	1				1							
Zotu1022	5		1	2	15	3		2		13	8	
Zotu370	11	1	13	2	8	7	6	6		10	5	5
Zotu36344	1				1							
Zotu2025							1					
Zotu1081	1		3			1						
Zotu8137					1		7					
Zotu5295	3			11	1		3	1		4	3	
Zotu3551										3	2	
Zotu12407					1		2					
Zotu9515	6					1						
Zotu41832	1			2		1		1		1		
Zotu5974	1		1	1								
Zotu2637	8		5				2	1			1	
Zotu14153			1		2			1				
Zotu1156	2		2		3		71	110		3	1	
Zotu2987						1					1	
Zotu1528				3		3				5		45
Zotu3794	2				3	1	2			1		
Zotu5415	1											
Zotu6168					4							
Zotu897			1	1	1	1	2		1		1	1
Zotu228	1		1	2	1	4	1		2		3	2
Zotu16552	1											
Zotu5478	1			2	1	2	1					
Zotu395			1	1	4	8				1	2	
Zotu7879		1			1	1	1	4				
Zotu31933	1									1		
Zotu68	4		12	190	14	82	12	7	1	45	7	115
Zotu8337	3											1
Zotu6719	1		5									
Zotu21573	2											
Zotu162	2		3		2	3	2	2	2		3	2
Zotu2002	12	22	1	6		1	39	11		12		4
Zotu52	5		4	2	1	2	6	2		2		
Zotu12383	1			1								
Zotu8189	2									4		
Zotu351		108	1	25				194	1	2	7	6
Zotu311	5	2	6	76	1	18	8	7	27	16	25	65
Zotu1427	2				3							1
Zotu16019	1									1		
Zotu4013	2			1	1		1					1
Zotu19104	3											
Zotu1671	1		4	1		1			1	1	1	2
Zotu1396	2		5		2	1	6					
Zotu1130	3	3	2	31	28	2	4	6	3	9	15	
Zotu100	2		2	7	6	8	1	2	2	4	5	4
Zotu5683	2			2	1		1	1		2		
Zotu5336	1		2				1	1	1		1	1
Zotu6364	1									1		1
Zotu1644	1		8		2	21	10	6				1
Zotu5297	2				3						2	1
Zotu2716	12				2	5				1	2	1
Zotu4908	3			2			1	1			2	1
Zotu6754	1									1	2	
Zotu18033	3											
Zotu9698	1					2					2	
Zotu528	3		4	1	9	10	10	2	4	1	4	2
Zotu14286						1						
Zotu6334	6		1	1	10		8	3		2		
Zotu5244	1										5	
Zotu17091					1					1		
Zotu1938	4		6	2		2	1	7		1		3
Zotu1025	2			3	6	5						2
Zotu5591	1						3			3		8
Zotu5052	2						1	4		3	1	
Zotu1544		2	5		14	2	5	2			9	2
Zotu23694	1											
Zotu4936	8						1			2		
Zotu371	1		11	4	17	6	6	6	1	5	50	3
Zotu16642	4	1	3				1					
Zotu3564	1			2								
Zotu1344			1					13		5		
Zotu8136	1		1									
Zotu5713	2	3					1				1	
Zotu9842	10						1					
Zotu2588			1		2						4	
Zotu53473	2											
Zotu19503	2						1				1	
Zotu8269					2							
Zotu32831	1				1							
Zotu7392	1		1		1	1					1	
Zotu4095	1		1			1	1	1		1	1	1
Zotu48475	2											
Zotu1480	10	2	3		1	3	1	6		4		1
Zotu863		1		48	33	13	1	1	5	4		4
Zotu18501	1							2				
Zotu2935	2				1	3			1		1	
Zotu12959	1			2								
Zotu1619	1	5	1	1	1	1	1		3	2		6
Zotu1143				4	1	2						
Zotu28038	4											
Zotu45715				1								
Zotu10308	1		1	2								
Zotu2316	1		2				6	5		1	1	
Zotu6982	1			1	7			1		1		
Zotu1759	2	1		2	1	4	2	2	2	1	3	1
Zotu4772	1					1	1			2	9	1
Zotu11591											2	
Zotu29237							2	5	1	1	1	
Zotu5259	1			2	4	2		1				
Zotu8954				2						25		
Zotu5577	1			1	2	1			1		1	
Zotu4862											1	
Zotu1561	2		2		6	1	5	5		10	1	
Zotu13	1	15		1	3		2	6		4	4	
Zotu1312				3	53			5		1	3	1
Zotu60	4	17	239	197	96	6	60	196	4	191	42	34
Zotu2827					3	1						
Zotu9641	2							1		2		
Zotu7175		1			1							
Zotu2888								1				
Zotu2760	1		1		11		3	3				
Zotu20475			1									
Zotu1826					3			5		10	2	1
Zotu16085						1						
Zotu56084	1						9	3		7		
Zotu9733				1	7		1	7			1	1
Zotu3941	1		1									
Zotu3955				1		1		1		2		
Zotu17999										2		
Zotu2882	1											
Zotu4221		2		1			17	7		9	1	
Zotu15316	7											
Zotu8933	4		2					1				
Zotu45643	1											
Zotu43	1	1	1	196	3	1	12	1	1	1	2	
Zotu30493	1				1							
Zotu20089		1									2	
Zotu17479	3											
Zotu2574			2	1	11	7	2	1			1	3
Zotu2320			1		2							
Zotu169			2	1	1			3				3
Zotu6279		3	2				1					
Zotu4586	2											
Zotu272	1		12		23		14	2			1	
Zotu1067		10	2		32	28		3	3	3		
Zotu1286	1	6	1	2	4	2		3		3	4	1
Zotu17800								1				
Zotu10041	2		1	1								
Zotu392				2	2					5	1	5
Zotu5197	5		1				6					2
Zotu5733									1		1	
Zotu45467					1					1		
Zotu1972	4		4			1	30	7		12		
Zotu9560	1									1		
Zotu9038			2				1	1				
Zotu7102					1						1	
Zotu6582							1			2		
Zotu10235				1	2							
Zotu3590	1				3					1	2	
Zotu16094	1				3						1	
Zotu8640	2											
Zotu14597								2				
Zotu20091	3						3					
Zotu15397					4		1					
Zotu978	9		9	4	3		40	1		3		
Zotu1103	1		3				1	2				
Zotu6327	1						1					
Zotu4836	1			4	2	2	2					
Zotu9534					2					1		
Zotu1298	4			1	5	3	4	1	1	1	1	
Zotu6567							6					
Zotu7403			1		1			1				
Zotu8235	1			1								
Zotu2654	1	1	2	2	3	1	2	3		1	2	2
Zotu5124						1			1			
Zotu4671	5	1	9					3			4	1
Zotu24400	8								1			
Zotu9245	3							1				
Zotu355	4	5	19	9	56	17		31		11	23	3
Zotu310	5		2			1						
Zotu1976	3											
Zotu4103	9	4	2				15	3		3	4	1
Zotu17805										2		1
Zotu567	1				1			2		3		
Zotu16311	1										1	
Zotu15749	2											
Zotu3095					2	1				2		
Zotu4258	1				3		2	3			2	1
Zotu1580			1		2	2		3			1	1
Zotu4595	2									2		
Zotu16592	1		1			1	1					
Zotu4768	2				3		11			1		
Zotu5222	2		1		9	1	1	1				
Zotu4410	1	1										
Zotu8351	2			2	4		2			1	1	
Zotu37339				4	1		1		1			1
Zotu3619							1			3		
Zotu2221								1				
Zotu9156								2			2	
Zotu4748	1											
Zotu523	2		10	2	1	5		1	2	1	2	7
Zotu2338	1			1	4	3	1		1	1	1	
Zotu1993	1		1									
Zotu12078						2						
Zotu189	5		4	1	2	1			1			4
Zotu11871	1							1				
Zotu9229	2											
Zotu50390	1											
Zotu1807	3	1	10		1	1	3	1	1	3		
Zotu37423	1											
Zotu3016	2				2		2	5		2		
Zotu22989	1											
Zotu2669	3		1		1							
Zotu29730							1			2		
Zotu4834					2						1	
Zotu2747						1			2		1	3
Zotu529	5	1	5	7	32	7	3	2		37	7	9
Zotu10477										1	2	
Zotu7076	3		1							2		
Zotu51502											1	
Zotu11680	3								1			
Zotu894			1	3	4		2	1			3	1
Zotu312	1		1	7	4	7	2	1	2	2	3	4
Zotu6521	4				1	3					1	
Zotu35624	1											
Zotu2186	5					1	3			13	11	3
Zotu4568	1		2			1						
Zotu94	2		1	5	1		2		1	1	3	3
Zotu2124	3	1	3					2		14	2	
Zotu14667	1			1	1							
Zotu1931	2		1	1	1		1	7			1	
Zotu1294	1					1				1		1
Zotu30793				1	1							
Zotu493	1		2	2	7		1	1				
Zotu5725	3				2							
Zotu6932	1		1				1			1		
Zotu11942												1
Zotu4646			3		5					2		
Zotu8981	2				1							
Zotu5951				2						1		
Zotu34328	6											
Zotu9596	1							1				
Zotu41965		1				1		4	1	1	1	
Zotu2644		1	1		2	1	12	3			2	
Zotu7109					2							1
Zotu10846	1											
Zotu2653	1			1						1	6	1
Zotu8320	1										2	
Zotu11695					1	1						
Zotu374	4				5	3	1	1		1	4	5
Zotu846	3	10	1		13			18		2	14	
Zotu21331								2				
Zotu4988			1					2		2		
Zotu6340			7							2	2	
Zotu10370			10		1	1	3	1				
Zotu7515		2	5		6	2		2			3	4
Zotu7823	1						2	2				2
Zotu1107			2	1	1	5	3	1			2	
Zotu3282	3			1	8		1	11				
Zotu9871	2				1			1		1		
Zotu2986	1										3	
Zotu257				3	7	1	4					
Zotu21092					1							
Zotu111	3		1	6	6	20	2		2	1	2	3
Zotu3980	3			2	5		1					
Zotu5167					3			1		1		
Zotu20255	1						1			1		
Zotu21696							4					
Zotu25878	3			1			15	1				
Zotu12057												1
Zotu725	1	1	1	1	1		4	8	2	3		2
Zotu40100	1											
Zotu784				1	1	2					1	1
Zotu16445	1											
Zotu1905	1		1		1			2		1		
Zotu5078	2			1	1	1	1			1		
Zotu52098				1								1
Zotu2164	2		1	3	8	3	1					
Zotu715	3		1	3	5	6		1			3	
Zotu7283								12		1		
Zotu1529	3			2	6	1	6				1	2
Zotu4196	1		1									
Zotu4025												1
Zotu28971	1											
Zotu664			3			1	4	1				1
Zotu1379	1		1			1			1		1	1
Zotu5840	2			1	1						1	
Zotu11842	1		1									
Zotu8647	5	1			2		5					
Zotu12317	2						9					
Zotu13766	1											
Zotu559	7		1				6	1		1	2	
Zotu1633					6			5			2	
Zotu4343	1		3		2	1			1		2	2
Zotu50616	2	3			2			3		2	2	3
Zotu7968	1				1							
Zotu1210	4		1				5	1		64		
Zotu7826	1		1			2	1			1		
Zotu3795	7	7	1				56	3		3	1	
Zotu46556	3				6			1			4	
Zotu2579	2		1		2						3	1
Zotu3286		2										
Zotu2247	3	1			7	1	9					1
Zotu5041	3			1	4		5				2	
Zotu7449	1											
Zotu4852					1							1
Zotu1010	2	16	17	1		4	4	7	15	4	2	2
Zotu4670	3				3		3	1		1	4	
Zotu3341	5			1	3		1	6		4		
Zotu8905	2						3	1				
Zotu13414	2		2				1					
Zotu7340								2			1	
Zotu1037	4					1	1	1				
Zotu2345			3		1			5		6	1	3
Zotu5435	2				5	1		1			1	
Zotu11833	2											
Zotu5019	2					1				5	7	
Zotu11970	1						2					
Zotu955	1		1				1				1	
Zotu2833					1	1						
Zotu33790					1							
Zotu4074						1						
Zotu593	1	1		1		1						1
Zotu20178									1		1	
Zotu2898	1				1						1	1
Zotu10969	2		4					1				
Zotu52708							1					
Zotu20532	4						1				1	
Zotu1715					2				1			1
Zotu1630	1		2		1	2		1			4	
Zotu3351	1				1	1					1	1
Zotu27899	3											
Zotu29099	1		1									
Zotu37704	2						2					
Zotu54053	1											
Zotu25631						1						
Zotu2671		1	1	1	3		1				1	
Zotu4134	1					1						
Zotu2717	2		4		2		2	2		7		1
Zotu5087					1		1					
Zotu18584				1			2					
Zotu2614					1	1	1				1	
Zotu1318	2	1	3						1		2	
Zotu9125	1			1	1			2				
Zotu7209	3						10	2			1	2
Zotu2841					2	1					5	5
Zotu6857								1		1	3	
Zotu2733		8	20	2	1			8	2	2	1	2
Zotu34330	1						1					
Zotu12030	1											
Zotu1880	3	3	1	1			2	3	1	4	2	
Zotu9495	2		1	1	1							
Zotu14522					1					1	1	
Zotu651	1			1		1	2		1			1
Zotu27890	1	1	1									
Zotu1942	4	1		4	1	1		1	1	22	10	2
Zotu131	6	52	23	4	33	51		13		5	22	29
Zotu14591	5			1			2	8				
Zotu5174	2		2		1	1						2
Zotu6360	2		2		4			1				
Zotu1300					3	10				6	2	1
Zotu1724					7	4				4	11	
Zotu44901	1											
Zotu4183	1					2	1	3		4		
Zotu10376					1	1		1		1		
Zotu8205	1			1	2					2	6	1
Zotu1714			1					7			1	
Zotu4731	2	1			2		2	1		4		
Zotu7598										4		
Zotu231	4	43	8	13	8	77	8	7	14	41	69	17
Zotu5354			1	1	3		1	2		1		
Zotu1114	3			1	3							
Zotu6378	3					1						
Zotu16446					1							
Zotu17349	1			1	1		1					
Zotu4842	2			1	4		1					
Zotu1546		7	6	1	29	3	3	10	3	3	17	18
Zotu6210	1	1		1						7	1	
Zotu1654	1	1	2		2	2		4			1	2
Zotu51703					1							
Zotu1197	3		1	2	5	1	3		1	13		1
Zotu5814	2				1							
Zotu53486	1											
Zotu72		1	26			293		1			83	1814
Zotu1367	5		6		3	1	6	5		14	3	
Zotu25353	1						1					
Zotu3270	1		1	1	3		1	1				
Zotu3147						1						
Zotu17722	1		4				1					
Zotu14600	1			1						1		
Zotu270			2		2					1	1	3
Zotu6770	2			2	3			6				
Zotu1144	1			9	5	2	3	1			2	
Zotu1456	3			2	14		3	1		1	4	1
Zotu1756	6			2	2	4	1			3	7	2
Zotu1105	3	5		8	11	20	4	9	2	4	12	1
Zotu8797	1										1	
Zotu6858					1							1
Zotu12632				2				2				
Zotu2350	1		1			2				5	1	1
Zotu3018			1		13		1	1			1	
Zotu10393			1	1		2	2		1			
Zotu407	1			4	8	3	1		2		1	2
Zotu4177	3			1	3			1		4		
Zotu9524	1											
Zotu5058	1				2	1				1		
Zotu11436	3			1								
Zotu10450				1	2		1					
Zotu24886	1											
Zotu5097	1		1		1	1					1	2
Zotu7212	1											
Zotu2849						1		1				
Zotu10017	1			1						1		
Zotu3010	1		1		1		2			2		
Zotu3835	1			3	3	4	1			4	1	
Zotu1664	3		2		1							
Zotu53348	1	2							1		1	1
Zotu188	2	113	2	96	15	9	1	49	4	99	28	23
Zotu904	1		1	2	1	1	1		1	4	7	
Zotu12884	1											
Zotu53767	1		1								1	1
Zotu2982	5				1		12			2		
Zotu8175				1	1	24		1		3	15	2
Zotu972				1	2	2	1		1		1	
Zotu3064	1			1	3	3					1	1
Zotu14780								2				
Zotu2562	4	1	2	2					1	1		
Zotu9404				1			1					
Zotu3245	2			1	6			1				
Zotu5217		1		7	1		1		3		1	1
Zotu3806	2			1	2		1	1				
Zotu3395	1				6		1	2				
Zotu10470											1	
Zotu1477	1				2	1	2				2	2
Zotu4059				1	1					1		
Zotu9178			3		1		1			1		
Zotu42	5	1		13	39	160	23	7		213	83	768
Zotu1935	1	1		2	8			1				
Zotu9655											1	
Zotu25162					1							
Zotu5092	1		2	1	1				1	2		
Zotu13178	2											
Zotu5286		1			4			1		1		
Zotu20688							1					
Zotu8959	1				1		1					
Zotu44287								1		1		
Zotu2613	1		1									
Zotu29655	2		1		1					1		
Zotu53684	1										1	
Zotu3877	3		10				6	1		15		1
Zotu5754	1			1	11		2	1				
Zotu12261	1		1							6		
Zotu627	5	8		7	2	1	1	1	3	5	5	1
Zotu2521	2				1					1		
Zotu6042					1			3				
Zotu13208	1					6						1
Zotu3096							1					
Zotu3103	1									1		
Zotu986	2		1	1	7	3	5	3		7	3	3
Zotu5975	3		4				2	1				
Zotu40672											1	
Zotu4000	1											
Zotu46612	4	3	8	2	1		3	1	3	2		2
Zotu22234								3	1	2		
Zotu41485	1											
Zotu9725										1		
Zotu5309	3				2			1			2	
Zotu2597	2	1		1	2							
Zotu15489										1		
Zotu650				1	2	1					3	1
Zotu560				1		2						1
Zotu1265			2		2	1			1	1	3	
Zotu1970	4							3				
Zotu34352					1							
Zotu4144					2	1					1	
Zotu7337	1			2	4			3				
Zotu541			2	1	2	6	2		1	2	1	1
Zotu1478			1									
Zotu12062					1							
Zotu37234	1					1						
Zotu49154	1											
