"10N2016" "10N2017" "10N2018" "16N2016" "16N2017" "16N2018" "19N2016" "19N2017" "19N2018" "1N2016" "1N2017" "1N2018" "20N2016" "20N2017" "20N2018" "23N2016" "23N2017" "23N2018" "3N2016" "3N2017" "3N2018" "6N2016" "6N2017" "6N2018" "17soil10N" "17soil16N" "17soil19N" "17soil1N" "17soil20N" "17soil23N" "17soil3N" "17soil6N" "18soil10N" "18soil16N" "18soil19N" "18soil1N" "18soil20N" "18soil23N" "18soil3N" "18soil6N" "16soil10N" "16soil16N" "16soil19N" "16soil1N" "16soil20N" "16soil23N" "16soil3N" "16soil6N"
"Zotu170" 32 0 0 1 110 0 5 9 1 5 44 0 20 2 0 0 1 2 4 0 0 0 0 0 2 74 11 7 6 3 11 2 34 66 3 27 11 1 5 21 2 1 6 0 30 3 5 12
"Zotu103" 40 51 27 21 14 8 12 8 65 7 14 47 19 50 35 8 29 78 20 0 6 12 57 67 2 22 11 7 18 27 11 9 0 45 10 35 4 26 4 24 3 3 1 1 1 4 5 0
"Zotu75" 223 1 0 10 2 0 14 10 1 12 2 0 21 5 0 2 6 0 18 0 2 1 0 1 29 3 4 3 2 8 13 1 2 0 10 0 1 0 48 3 9 0 30 4 13 15 1 203
"Zotu473" 25 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 5 0 0 0 0 3 17 11 117
"Zotu63" 39 7 42 2 16 1 71 60 237 99 76 0 235 30 13 563 183 282 376 60 283 64 37 144 0 4 13 1 1 8 0 0 0 0 24 27 2 26 0 0 0 0 10 6 0 8 1 0
"Zotu4" 35 0 0 0 21 0 4 0 0 16 4 0 12 19 0 3 0 0 1 0 2 0 1 0 20 759 72 264 3508 13 30 46 12 102 1 774 52 58 67 25 7 172 1055 1287 13 9 3 3
"Zotu179" 27 0 0 3 63 0 13 82 8 2 22 1 11 6 2 1 7 4 2 0 2 0 0 4 4 26 21 12 12 5 7 9 13 45 21 90 15 10 37 19 1 0 12 2 14 1 4 25
"Zotu221" 4 0 0 0 0 0 0 0 37 1 2 0 15 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 99 0 0 1 0 0 2 0 0 0 0 0 0 0 20 0 0 294 0 0
"Zotu82" 132 13 14 0 7 5 57 29 264 90 158 0 137 79 3 0 31 0 291 0 4 22 1 55 5 7 51 3 50 37 34 13 0 10 96 0 8 32 23 6 11 0 19 0 9 15 5 1
"Zotu180" 89 0 0 1 76 0 20 1 1 3 2 0 6 0 0 1 3 1 3 0 0 2 0 0 12 5 1 3 0 0 2 0 1 0 3 1 0 1 10 1 3 0 4 1 3 1 5 37
"Zotu382" 49 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 0 0 0 5 0 0 0 1 0 6 0 0 0 0 0 1 0 0 0
"Zotu153" 95 0 1 6 81 0 0 0 0 15 105 0 13 0 0 0 6 0 3 0 0 1 0 6 23 7 2 7 7 0 27 6 12 8 0 96 2 0 9 1 17 0 1 2 29 6 9 7
"Zotu43" 54 1 0 0 39 1 3 7 1 14 571 0 13 0 2 6 58 0 16 0 0 1 0 12 60 64 34 11 3 29 61 12 33 87 5 70 8 19 16 26 15 43 5 1261 4 1 63 17
"Zotu142" 80 0 0 4 50 0 15 20 35 12 19 0 12 11 0 1 3 4 0 0 2 0 0 1 1 19 2 17 4 13 0 1 9 6 15 14 3 2 6 13 0 8 66 34 99 66 13 14
"Zotu20" 240 0 4 3 336 1 57 37 12 58 215 0 63 17 2 0 33 12 23 0 3 5 0 20 26 197 142 59 17 97 43 16 94 66 46 84 53 37 124 115 27 30 434 6 253 25 144 356
"Zotu73" 180 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 22 0 0 0 0 0 0 0 0 0 2 23 5 39 3 0 0 5 0 2 5 1 0 0 0 10 0 0 16 0 0
"Zotu37" 4 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 10 1 0 0 0 0 0 5 94 4 12 280 1 87 151 230 170 33 64 130 0 150 400 399 153 27 12 100 0 9 223 33
"Zotu67" 81 0 2 0 5 0 6 0 2 58 0 0 8 0 0 0 4 0 14 1 2 0 0 8 70 16 9 38 13 64 146 36 51 143 14 112 19 45 54 71 29 24 10 5 6 8 89 12
"Zotu2" 135 75 123 116 87 60 182 106 521 151 605 1600 367 817 933 835 479 751 482 276 1456 1790 2085 2145 42 45 102 21 111 29 43 394 184 87 54 62 33 55 26 138 25 6 9 39 23 9 40 34
"Zotu713" 27 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5
"Zotu143" 29 0 0 1 3 0 4 19 1 0 4 0 6 4 0 0 0 0 14 0 0 2 3 1 1 1 34 3 0 8 30 6 0 2 0 1 0 0 0 0 0 0 27 0 6 582 3 51
"Zotu339" 12 0 0 0 0 0 0 0 0 2 19 0 0 0 0 0 0 0 2 0 0 0 0 1 1116 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu41" 106 1 26 0 14 1 2 2 2 113 5 0 5 2 1 1 11 0 118 0 10 0 0 14 162 44 42 81 46 133 140 290 129 184 118 119 68 137 69 161 90 53 41 13 36 24 170 18
"Zotu727" 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 9
"Zotu304" 16 0 0 1 1 0 0 3 0 5 1 0 2 2 0 0 1 1 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 12 0 0 0 0 6 1 0 1 12 5 0 4
"Zotu393" 117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
